drug,cell_line_id,n_cells
Zileuton,CVCL_1547,4254
5-Azacytidine,CVCL_0504,4254
Methylprednisolone succinate,CVCL_1550,4254
Cysteamine (hydrochloride),CVCL_0069,4253
Acetazolamide,CVCL_0371,4252
Fenofibrate,CVCL_1717,4252
ML264,CVCL_1381,4252
Dexamethasone,CVCL_0292,4252
Vinblastine (sulfate),CVCL_1495,4251
Ralimetinib dimesylate,CVCL_1517,4251
Binimetinib,CVCL_1724,4251
Canagliflozin (hemihydrate),CVCL_1094,4250
Tucidinostat,CVCL_0179,4250
Pimozide,CVCL_1381,4250
Fingolimod (hydrochloride),CVCL_1717,4250
Ipatasertib,CVCL_1056,4249
Dexmedetomidine,CVCL_1635,4249
Ribociclib,CVCL_0366,4249
5-Fluorouracil,CVCL_1666,4248
olaparib,CVCL_0292,4248
venetoclax,CVCL_1381,4248
Darinaparsin,CVCL_1098,4246
Verapamil,CVCL_0293,4245
Rifaximin,CVCL_0371,4245
Benproperine (phosphate),CVCL_0293,4245
Ritonavir,CVCL_C466,4245
Mebendazole,CVCL_1097,4244
Verapamil,CVCL_1635,4243
Tetracycline (hydrochloride),CVCL_0152,4243
Plicamycin,CVCL_1547,4243
NVP-BHG712,CVCL_0371,4242
Bexarotene,CVCL_0099,4241
Sodium Salicylate,CVCL_0069,4241
Gemcitabine,CVCL_0428,4240
Dexamethasone,CVCL_1635,4240
NG25,CVCL_0152,4240
Artemether,CVCL_0218,4239
Canagliflozin,CVCL_1550,4238
Bergenin,CVCL_0179,4238
Resveratrol,CVCL_0069,4237
Artemether,CVCL_1239,4237
PH-797804,CVCL_1285,4236
Abiraterone acetate,CVCL_0366,4236
Sacubitril/Valsartan,CVCL_1731,4236
Tucidinostat,CVCL_1094,4236
Bentamapimod,CVCL_1119,4236
Fluvoxamine,CVCL_0023,4236
Arbutin,CVCL_0371,4236
Econazole,CVCL_1094,4235
Roxadustat,CVCL_0371,4235
Bicalutamide,CVCL_0218,4234
Hesperidin,CVCL_1495,4234
(R)-Verapamil (hydrochloride),CVCL_0292,4234
DTP3,CVCL_0179,4234
Omeprazole (sodium),CVCL_0218,4234
OTS514,CVCL_0320,4233
Lonafarnib,CVCL_1731,4232
Trifluridine,CVCL_1731,4231
Isocorydine,CVCL_0366,4231
olaparib,CVCL_1547,4231
Epirubicin (hydrochloride),CVCL_0023,4231
Vandetanib,CVCL_0131,4230
Zileuton,CVCL_1635,4230
Diphenhydramine,CVCL_1094,4230
Selinexor,CVCL_1666,4229
Asciminib,CVCL_0069,4228
BI-78D3,CVCL_0504,4228
Elagolix sodium,CVCL_1098,4228
Lucanthone,CVCL_0218,4228
Monocrotaline,CVCL_0320,4228
Resveratrol,CVCL_0397,4226
Budesonide,CVCL_0320,4226
Meloxicam,CVCL_0371,4226
Triamcinolone,CVCL_0069,4225
Aspirin,CVCL_0099,4225
Fluvoxamine (maleate),CVCL_1098,4225
Fostamatinib (disodium hexahydrate),CVCL_1547,4225
Crizotinib (hydrochloride),CVCL_C466,4225
Bimatoprost,CVCL_0397,4225
Valdecoxib,CVCL_1119,4225
Furosemide,CVCL_1731,4224
Lopinavir,CVCL_1666,4223
Triamcinolone,CVCL_0397,4223
Methotrexate,CVCL_1666,4223
Alpelisib,CVCL_0320,4223
AT7519,CVCL_1635,4223
Furosemide,CVCL_0218,4222
Sonidegib,CVCL_1381,4222
Tofacitinib (citrate),CVCL_1635,4222
Budesonide,CVCL_1097,4221
Voriconazole,CVCL_0099,4221
Brimonidine,CVCL_0218,4220
Roxadustat,CVCL_0359,4220
DT-061,CVCL_1381,4220
Monocrotaline,CVCL_0023,4220
Talc,CVCL_1731,4219
Quinidine (15% dihydroquinidine),CVCL_1635,4219
Cytarabine (hydrochloride),CVCL_1717,4219
Fenofibrate,CVCL_0131,4218
Ivabradine (hydrochloride),CVCL_1635,4218
Oxaliplatin,CVCL_1495,4218
Demeclocycline,CVCL_1731,4218
Macitentan,CVCL_0320,4217
Sildenafil,CVCL_0152,4216
Pimitespib,CVCL_0131,4216
Omeprazole (sodium),CVCL_1094,4215
Altretamine,CVCL_1550,4215
Isocorydine,CVCL_1094,4215
Capmatinib,CVCL_0359,4215
Arbutin,CVCL_1495,4214
Arbutin,CVCL_0359,4214
Palmatine (chloride),CVCL_1094,4213
Ivermectin,CVCL_0069,4212
Dihydroartemisinin,CVCL_1550,4211
Fingolimod (hydrochloride),CVCL_1731,4211
Futibatinib,CVCL_1547,4211
Cilostazol,CVCL_0152,4210
Dexamethasone,CVCL_1731,4210
Triamcinolone,CVCL_1055,4210
Orlistat,CVCL_1381,4209
Tofacitinib (citrate),CVCL_0366,4209
Neratinib (maleate),CVCL_0218,4209
Fenofibrate,CVCL_1635,4209
Vitamin K4,CVCL_1717,4208
Phenytoin (sodium),CVCL_1056,4208
Fedratinib (hydrochloride hydrate),CVCL_0131,4208
GSK1059615,CVCL_1478,4207
Azithromycin (hydrate),CVCL_1055,4207
Olanzapine,CVCL_0218,4207
Thymopentin,CVCL_0371,4206
Tucidinostat,CVCL_1666,4206
Elagolix sodium,CVCL_1495,4206
Cilostazol,CVCL_0069,4205
AZD1390,CVCL_0397,4205
Budesonide,CVCL_0371,4205
LB-100,CVCL_0366,4204
Bexarotene,CVCL_0069,4204
Allantoin,CVCL_0179,4203
Minodronic acid,CVCL_1635,4203
Neratinib,CVCL_0293,4202
Oxaprozin,CVCL_1381,4202
OTS514,CVCL_0152,4202
Fingolimod (hydrochloride),CVCL_0152,4202
Ropivacaine (hydrochloride monohydrate),CVCL_1495,4201
Ouabain (Octahydrate),CVCL_0366,4201
Sildenafil,CVCL_1717,4200
Tomivosertib,CVCL_1381,4200
Almonertinib (hydrochloride),CVCL_0320,4199
Asciminib,CVCL_0152,4199
BAY1125976,CVCL_1381,4199
Megestrol,CVCL_0332,4199
Fingolimod (hydrochloride),CVCL_0292,4198
4EGI-1,CVCL_0397,4198
Cysteamine (hydrochloride),CVCL_1094,4198
γ-Oryzanol,CVCL_1478,4197
Sildenafil,CVCL_1478,4197
Peretinoin,CVCL_0023,4197
Fingolimod (hydrochloride),CVCL_1478,4196
MK-3903,CVCL_1517,4196
Asciminib,CVCL_1666,4196
Minodronic acid,CVCL_0179,4196
Posaconazole,CVCL_0152,4196
Pentagastrin,CVCL_0428,4195
Rutin (trihydrate),CVCL_1547,4195
Erlotinib,CVCL_0292,4195
Bentamapimod,CVCL_C466,4194
BI-78D3,CVCL_1119,4194
Selinexor,CVCL_0332,4193
Ivermectin,CVCL_0131,4193
Ouabain (Octahydrate),CVCL_1098,4193
Triclosan,CVCL_0218,4192
Demeclocycline,CVCL_1055,4192
Simotinib,CVCL_0334,4191
Orlistat,CVCL_1550,4191
Mitoxantrone (dihydrochloride),CVCL_1547,4191
Acetazolamide,CVCL_0320,4191
palbociclib,CVCL_0397,4191
Ponatinib,CVCL_0069,4191
Dexamethasone,CVCL_1666,4190
Tofacitinib (citrate),CVCL_1055,4190
Sulfatinib,CVCL_0293,4190
Methylprednisolone succinate,CVCL_1381,4190
TAK-901,CVCL_1717,4188
Cyclosporin A,CVCL_1517,4187
Auranofin,CVCL_0359,4187
Palmatine (chloride),CVCL_0332,4186
Gefitinib,CVCL_1055,4186
Flutamide,CVCL_1097,4186
NVP-BHG712,CVCL_1550,4186
Hydroxyurea,CVCL_0399,4186
Larotrectinib sulfate,CVCL_1731,4185
Ixazomib,CVCL_0131,4185
Vemurafenib,CVCL_1724,4185
Vilanterol,CVCL_0397,4185
BI-78D3,CVCL_0397,4185
Saquinavir,CVCL_0152,4184
Ropivacaine (hydrochloride monohydrate),CVCL_1055,4184
Rapamycin,CVCL_0218,4184
Thymopentin,CVCL_0023,4183
Elagolix sodium,CVCL_0366,4182
Lactate (calcium),CVCL_1666,4182
Mitoxantrone (dihydrochloride),CVCL_1517,4182
AZD1390,CVCL_1717,4182
Procainamide (hydrochloride),CVCL_0399,4181
Alpelisib,CVCL_1717,4181
Ralimetinib dimesylate,CVCL_0504,4181
Minodronic acid,CVCL_0292,4180
Brivudine,CVCL_0366,4180
Vortioxetine,CVCL_1097,4180
IQ 1,CVCL_0371,4179
Cabozantinib (S-malate),CVCL_0069,4179
Rutin (trihydrate),CVCL_1055,4178
Vitamin K4,CVCL_0152,4178
olaparib,CVCL_1094,4178
Daptomycin,CVCL_0397,4178
Furosemide,CVCL_1094,4177
PF-06260933,CVCL_0397,4177
Osimertinib (mesylate),CVCL_0131,4177
c-Kit-IN-1,CVCL_0292,4176
Bendamustine,CVCL_1056,4176
Cinacalcet,CVCL_1635,4176
Methylprednisolone succinate,CVCL_0359,4176
Belinostat,CVCL_1381,4175
Sacubitril/Valsartan,CVCL_0099,4175
c-Kit-IN-1,CVCL_1547,4175
Roxadustat,CVCL_1495,4175
Apalutamide,CVCL_0320,4174
Vortioxetine,CVCL_1717,4174
AZD1390,CVCL_1478,4174
5-Azacytidine,CVCL_1478,4174
Temsirolimus,CVCL_1635,4173
ETC-206,CVCL_1731,4173
Eplerenone,CVCL_0332,4173
Neratinib,CVCL_1097,4172
Harringtonine,CVCL_1094,4172
Methotrexate,CVCL_1635,4172
Alpelisib,CVCL_1056,4171
Ataluren,CVCL_1055,4171
Fluvoxamine (maleate),CVCL_1635,4171
Ritonavir,CVCL_1055,4171
Sonidegib,CVCL_0023,4171
Loperamide (hydrochloride),CVCL_0292,4171
Megestrol,CVCL_1094,4170
Harringtonine,CVCL_0332,4170
Resveratrol,CVCL_1094,4170
Torkinib,CVCL_C466,4170
Docetaxel,CVCL_1547,4169
Cinacalcet,CVCL_0292,4169
Temuterkib,CVCL_1119,4169
Talc,CVCL_0131,4168
Nafamostat (mesylate),CVCL_0152,4168
Lapatinib ditosylate,CVCL_1547,4168
Dexamethasone,CVCL_0152,4167
Vitamin K4,CVCL_0397,4167
Dapagliflozin,CVCL_0179,4165
PH-797804,CVCL_1119,4165
Auranofin,CVCL_0320,4165
Betamethasone dipropionate,CVCL_1056,4164
Neratinib,CVCL_0152,4164
Busulfan,CVCL_1635,4164
Daptomycin,CVCL_1635,4163
GSK1059615,CVCL_1056,4163
Ropivacaine (hydrochloride monohydrate),CVCL_0397,4163
Ornidazole,CVCL_C466,4162
Cilostazol,CVCL_1717,4162
Sulfisoxazole,CVCL_0179,4162
Posaconazole,CVCL_1717,4162
Palmatine (chloride),CVCL_1055,4161
Adenosine,CVCL_0292,4161
Verapamil,CVCL_0131,4161
Brivudine,CVCL_1635,4161
Peretinoin,CVCL_1495,4161
Betamethasone dipropionate,CVCL_1550,4160
PF-06260933,CVCL_1097,4160
Idarubicin (hydrochloride),CVCL_1635,4159
Tofacitinib,CVCL_1731,4159
8-Hydroxyquinoline,CVCL_1693,4158
8-Hydroxyquinoline,CVCL_0292,4158
Osimertinib (mesylate),CVCL_1478,4158
Lactate (calcium),CVCL_C466,4157
Cytarabine (hydrochloride),CVCL_1495,4157
BAY1125976,CVCL_1547,4157
Diphenhydramine,CVCL_1547,4157
Naproxen,CVCL_1724,4156
Rimonabant (Hydrochloride),CVCL_1666,4156
Sacubitril/Valsartan,CVCL_1547,4156
5-Fluorouracil,CVCL_0069,4155
Sinomenine,CVCL_1731,4155
Tofacitinib,CVCL_0332,4155
Radotinib,CVCL_1731,4154
Fulvestrant,CVCL_1239,4153
Ritonavir,CVCL_1098,4153
crizotinib,CVCL_1478,4153
ML264,CVCL_1635,4153
Sunitinib,CVCL_1381,4152
PH-797804,CVCL_0371,4152
CP21R7,CVCL_0023,4152
Sulfisoxazole,CVCL_0218,4152
Malotilate,CVCL_0218,4151
Orlistat,CVCL_0023,4151
ML264,CVCL_1666,4149
Tofacitinib,CVCL_0069,4149
Ixazomib citrate,CVCL_1550,4149
Clobetasol propionate,CVCL_1550,4149
Tazarotene,CVCL_1635,4149
Plicamycin,CVCL_1055,4149
Digitoxin,CVCL_1550,4149
Elimusertib hydrochloride,CVCL_0359,4148
Ligustrazine,CVCL_0504,4148
Sonidegib,CVCL_1550,4148
Ropivacaine (hydrochloride monohydrate),CVCL_1635,4148
Filgotinib,CVCL_0218,4148
Ixazomib,CVCL_1478,4148
olaparib,CVCL_0218,4148
Crizotinib (hydrochloride),CVCL_1094,4147
Bimiralisib,CVCL_0397,4147
Malotilate,CVCL_0292,4146
(S)-Crizotinib,CVCL_1097,4146
Altretamine,CVCL_0359,4146
Dihydroartemisinin,CVCL_0371,4146
Oxaliplatin,CVCL_0179,4145
Cytarabine (hydrochloride),CVCL_0152,4145
Aliskiren,CVCL_1055,4144
Gallic acid (hydrate),CVCL_1731,4143
DTP3,CVCL_1094,4143
Temsirolimus,CVCL_0332,4142
Cabozantinib (S-malate),CVCL_0332,4142
L-Eflornithine (monohydrochloride),CVCL_1635,4142
Cabozantinib (S-malate),CVCL_1635,4141
Methotrexate,CVCL_0099,4141
Celecoxib,CVCL_0293,4141
DT-061,CVCL_0397,4140
Pemetrexed,CVCL_0399,4140
TAK-733,CVCL_0131,4139
PF-06260933,CVCL_1517,4139
Tazarotene,CVCL_0292,4139
Tranilast,CVCL_1635,4139
Sivelestat (sodium tetrahydrate),CVCL_0152,4139
Benztropine (mesylate),CVCL_1094,4139
crizotinib,CVCL_0504,4139
Estrone sulfate (potassium),CVCL_1547,4138
AZD-8055,CVCL_1731,4138
DT-061,CVCL_1547,4137
Clobetasol propionate,CVCL_0371,4137
Fostamatinib (disodium hexahydrate),CVCL_1094,4137
Dimethyl fumarate,CVCL_C466,4137
Atazanavir (sulfate),CVCL_1097,4136
Eplerenone,CVCL_0131,4135
Posaconazole,CVCL_1666,4135
Furosemide,CVCL_1495,4135
Sivelestat (sodium tetrahydrate),CVCL_0366,4134
Imiquimod (hydrochloride),CVCL_0131,4134
Cysteamine (hydrochloride),CVCL_0292,4134
Hesperidin,CVCL_0371,4134
Flumatinib (mesylate),CVCL_1724,4134
Sacubitril/Valsartan,CVCL_0218,4133
BI-3406,CVCL_1731,4133
Elimusertib hydrochloride,CVCL_0320,4133
Medroxyprogesterone acetate,CVCL_1635,4132
Busulfan,CVCL_0069,4132
Fluvoxamine (maleate),CVCL_1666,4132
Bosentan (hydrate),CVCL_1381,4132
Sunitinib,CVCL_0023,4131
Artemether,CVCL_1094,4130
Rimonabant (Hydrochloride),CVCL_1547,4129
Esmolol (hydrochloride),CVCL_1055,4129
Lopinavir,CVCL_1635,4129
Sinomenine,CVCL_1666,4129
crizotinib,CVCL_1495,4128
ULK-101,CVCL_1550,4128
Methyl aminolevulinate (hydrochloride),CVCL_0366,4128
Vitamin K4,CVCL_1666,4128
Bortezomib,CVCL_1550,4127
AZD1390,CVCL_1119,4127
Resveratrol,CVCL_0179,4126
Tirabrutinib,CVCL_C466,4126
OTS514,CVCL_0371,4125
TAK-901,CVCL_0023,4124
Bestatin,CVCL_1666,4124
Sildenafil,CVCL_1731,4124
Azithromycin (hydrate),CVCL_1495,4123
Almonertinib (mesylate),CVCL_1125,4122
Clonidine (hydrochloride),CVCL_1239,4122
Clopidogrel,CVCL_0292,4122
Megestrol,CVCL_0069,4122
Sulfisoxazole,CVCL_0334,4122
Oleic acid,CVCL_1547,4122
Verteporfin,CVCL_1381,4121
Cabozantinib (S-malate),CVCL_1717,4121
Temsirolimus,CVCL_0069,4120
Flumatinib (mesylate),CVCL_1098,4120
Imiquimod (hydrochloride),CVCL_1731,4118
Torkinib,CVCL_1056,4118
Ouabain (Octahydrate),CVCL_1381,4118
venetoclax,CVCL_1547,4118
BI-3406,CVCL_1635,4118
Rucaparib (phosphate),CVCL_0218,4118
Dexmedetomidine,CVCL_0152,4117
Captopril,CVCL_0366,4117
Glasdegib,CVCL_0218,4117
Temsirolimus,CVCL_0179,4116
Ranolazine,CVCL_1547,4116
Fingolimod (hydrochloride),CVCL_1666,4116
Quinidine (15% dihydroquinidine),CVCL_1666,4115
Phenytoin (sodium),CVCL_1381,4115
Resveratrol,CVCL_1731,4115
Cilostazol,CVCL_0292,4115
Pemetrexed,CVCL_1285,4115
Docetaxel,CVCL_0179,4114
Erdafitinib,CVCL_0293,4114
Larotrectinib sulfate,CVCL_1055,4114
Fenofibrate,CVCL_0152,4114
Bicalutamide,CVCL_1055,4113
Ivermectin,CVCL_0332,4113
Larotrectinib sulfate,CVCL_1547,4113
Torkinib,CVCL_1381,4113
Furosemide,CVCL_1635,4112
Econazole,CVCL_0218,4112
Radotinib,CVCL_1094,4111
Fluvoxamine (maleate),CVCL_1495,4110
Lapatinib ditosylate,CVCL_1635,4110
Citalopram (hydrobromide),CVCL_1094,4110
DTP3,CVCL_1055,4109
S-Adenosyl-L-methionine (disulfate tosylate),CVCL_0292,4108
Vinblastine (sulfate),CVCL_0504,4108
Entrectinib,CVCL_1547,4108
Thymopentin,CVCL_0359,4108
Atazanavir (sulfate),CVCL_0152,4107
Tofacitinib (citrate),CVCL_1495,4107
Azithromycin (hydrate),CVCL_C466,4107
NG25,CVCL_0371,4107
Pexidartinib (hydrochloride),CVCL_1055,4106
Saquinavir,CVCL_0320,4106
Cabozantinib (S-malate),CVCL_1097,4105
Mozavaptan,CVCL_1285,4105
Entrectinib,CVCL_1094,4104
Ivabradine (hydrochloride),CVCL_0332,4104
Piroxicam,CVCL_0218,4104
Saquinavir,CVCL_1119,4103
5-Fluorouracil,CVCL_0292,4103
Fingolimod (hydrochloride),CVCL_0332,4102
Irinotecan,CVCL_0218,4102
Mebendazole,CVCL_0366,4102
9-ING-41,CVCL_0366,4101
PH-797804,CVCL_0320,4101
Irinotecan,CVCL_1495,4101
Raltitrexed,CVCL_0428,4101
Mebendazole,CVCL_0504,4100
Rapamycin,CVCL_1055,4100
Tucatinib,CVCL_0366,4100
palbociclib,CVCL_1097,4100
Tadalafil,CVCL_0131,4100
Ropivacaine (hydrochloride monohydrate),CVCL_C466,4100
Roxadustat,CVCL_0023,4100
Belinostat,CVCL_0371,4099
Peretinoin,CVCL_0371,4099
Crizotinib (hydrochloride),CVCL_0292,4098
L-Eflornithine (monohydrochloride),CVCL_0069,4098
TAK-733,CVCL_0023,4098
CP21R7,CVCL_0152,4097
Edoxaban (tosylate monohydrate),CVCL_C466,4097
Fluvoxamine (maleate),CVCL_0218,4097
c-Kit-IN-1,CVCL_1381,4096
Orlistat,CVCL_0359,4096
Mitoxantrone (dihydrochloride),CVCL_1098,4096
Eplerenone,CVCL_1635,4096
Fingolimod (hydrochloride),CVCL_0099,4096
Medroxyprogesterone acetate,CVCL_1731,4096
Dexmedetomidine,CVCL_0069,4096
γ-Oryzanol,CVCL_0292,4096
Lonafarnib,CVCL_1098,4096
Aprepitant,CVCL_1547,4095
Dorzolamide (hydrochloride),CVCL_0371,4095
Trimetrexate,CVCL_1731,4095
Sinomenine,CVCL_0179,4095
Ivermectin,CVCL_0292,4095
Cilostazol,CVCL_1097,4095
Dexmedetomidine,CVCL_0332,4095
Apalutamide,CVCL_0131,4095
Pexidartinib (hydrochloride),CVCL_1094,4094
RMC-6236,CVCL_0218,4094
Fenofibrate,CVCL_0069,4094
Budesonide,CVCL_1731,4094
LY2090314,CVCL_1635,4094
Elimusertib hydrochloride,CVCL_1056,4093
Bortezomib,CVCL_1285,4092
IQ 1,CVCL_1550,4092
Dihydroartemisinin,CVCL_0320,4092
Tolcapone,CVCL_1693,4092
Temsirolimus,CVCL_1094,4091
Canagliflozin (hemihydrate),CVCL_0218,4091
9-ING-41,CVCL_C466,4091
Pentoxifylline,CVCL_1239,4090
Elimusertib hydrochloride,CVCL_1717,4090
Aspirin,CVCL_0069,4089
Gallic acid (hydrate),CVCL_1635,4089
Glycyrrhizic acid,CVCL_0334,4089
Clofarabine,CVCL_1119,4089
Larotrectinib sulfate,CVCL_1094,4088
Altretamine,CVCL_0371,4088
Ritonavir,CVCL_1635,4088
Posaconazole,CVCL_1097,4088
LB-100,CVCL_1495,4087
Meloxicam,CVCL_0332,4087
Ixazomib citrate,CVCL_0504,4086
NVP-BHG712,CVCL_0320,4086
Chlorhexidine (diacetate),CVCL_1239,4086
Pentoxifylline,CVCL_C466,4086
Aprepitant,CVCL_0069,4086
Sulfatinib,CVCL_1717,4086
Delamanid,CVCL_0099,4086
Omeprazole,CVCL_1055,4086
Niclosamide (olamine),CVCL_0069,4085
OTS514,CVCL_1056,4085
Vandetanib,CVCL_1547,4085
Diammonium Glycyrrhizinate,CVCL_0428,4084
DTP3,CVCL_0366,4084
Lidocaine (hydrochloride),CVCL_0152,4083
Azithromycin (hydrate),CVCL_0366,4083
Daptomycin,CVCL_0292,4083
BI-3406,CVCL_0179,4083
Cytarabine (hydrochloride),CVCL_0292,4083
Pyridoxine,CVCL_0218,4083
Methylprednisolone succinate,CVCL_1056,4082
Allantoin,CVCL_0069,4082
Nafamostat (mesylate),CVCL_1666,4082
Tubulin inhibitor 6,CVCL_1635,4081
ML264,CVCL_1547,4081
Paclitaxel,CVCL_0334,4081
Neratinib,CVCL_0397,4081
Bentamapimod,CVCL_1717,4081
Terfenadine,CVCL_0292,4080
Larotrectinib sulfate,CVCL_0099,4079
Retinoic acid,CVCL_0428,4079
Phenylephrine (hydrochloride),CVCL_1055,4078
Entecavir (monohydrate),CVCL_1094,4078
Crizotinib (hydrochloride),CVCL_1547,4078
Irinotecan (hydrochloride),CVCL_1724,4078
Demeclocycline,CVCL_0218,4078
Glycyrrhizic acid,CVCL_1119,4078
Fingolimod (hydrochloride),CVCL_0069,4076
Afatinib,CVCL_1125,4076
Cilostazol,CVCL_1731,4074
Cysteamine (hydrochloride),CVCL_0332,4074
Auranofin,CVCL_1495,4074
Ivermectin,CVCL_1635,4073
BI-3406,CVCL_0218,4073
Bestatin,CVCL_1094,4073
Digitoxin,CVCL_0023,4072
Vismodegib,CVCL_0371,4071
Carbidopa (monohydrate),CVCL_1239,4071
Vinblastine (sulfate),CVCL_0292,4071
Canagliflozin,CVCL_1381,4071
APTO-253,CVCL_1635,4071
Ferulic acid,CVCL_0399,4070
Berberine (chloride hydrate),CVCL_0334,4069
Sivelestat (sodium tetrahydrate),CVCL_1055,4069
Acetazolamide,CVCL_1731,4069
Sunitinib,CVCL_0359,4069
Trifluridine,CVCL_0218,4069
Loperamide (hydrochloride),CVCL_0099,4068
Sulfatinib,CVCL_1635,4068
Erlotinib,CVCL_1547,4068
Lactate (calcium),CVCL_0131,4068
Benproperine (phosphate),CVCL_0504,4067
Malotilate,CVCL_1239,4067
CP21R7,CVCL_0480,4067
Belinostat,CVCL_0504,4066
Vortioxetine,CVCL_0069,4066
Alpelisib,CVCL_1478,4066
AT7519,CVCL_0179,4065
Dexamethasone,CVCL_0099,4065
Sildenafil,CVCL_0069,4065
Ciclopirox,CVCL_1731,4065
Cytarabine (hydrochloride),CVCL_1635,4065
Apalutamide,CVCL_0069,4064
Oxaprozin,CVCL_1550,4064
Ropivacaine (hydrochloride monohydrate),CVCL_0332,4063
palbociclib,CVCL_1478,4063
Cinacalcet,CVCL_0099,4062
8-Hydroxyquinoline,CVCL_0428,4061
Quinidine (15% dihydroquinidine),CVCL_1478,4061
Ixazomib,CVCL_1119,4061
MK-3903,CVCL_0480,4060
Trifluridine,CVCL_0069,4060
Doxorubicin (hydrochloride),CVCL_1056,4060
Gallic acid (hydrate),CVCL_0332,4060
Larotrectinib sulfate,CVCL_0397,4059
Benproperine (phosphate),CVCL_1478,4059
Fenofibrate,CVCL_0397,4059
Vandetanib,CVCL_1731,4059
Allopurinol,CVCL_1055,4057
Erlotinib,CVCL_1666,4057
Rapamycin,CVCL_0397,4057
Irinotecan,CVCL_1635,4057
Triclosan,CVCL_0428,4057
Dexmedetomidine,CVCL_0292,4056
Topotecan (hydrochloride),CVCL_1098,4056
Hydroxyfasudil,CVCL_1097,4056
Adenosine,CVCL_1693,4056
MK-8353,CVCL_1717,4055
Cabozantinib (S-malate),CVCL_0131,4055
AZD-7648,CVCL_1517,4055
Simotinib,CVCL_1285,4055
Pimozide,CVCL_0359,4054
Auranofin,CVCL_0131,4054
Lactate (calcium),CVCL_0293,4054
Bestatin (hydrochloride),CVCL_C466,4054
Cabozantinib (S-malate),CVCL_0152,4054
Darinaparsin,CVCL_1635,4054
Medroxyprogesterone acetate,CVCL_0069,4054
Osimertinib (mesylate),CVCL_1731,4054
AZD1390,CVCL_1097,4053
Bimatoprost,CVCL_1635,4053
Baicalin,CVCL_0334,4053
Quinidine (15% dihydroquinidine),CVCL_1097,4053
Temuterkib,CVCL_1097,4053
Lipoic acid,CVCL_0334,4052
Quinidine (15% dihydroquinidine),CVCL_1731,4052
γ-Oryzanol,CVCL_0069,4052
Cilostazol,CVCL_0397,4052
Simotinib,CVCL_1119,4051
L-Eflornithine (monohydrochloride),CVCL_1717,4051
Tolmetin,CVCL_1055,4051
Ciclopirox,CVCL_0397,4051
Cytarabine (hydrochloride),CVCL_1478,4051
Ixazomib,CVCL_1717,4050
Torkinib,CVCL_1547,4050
Proglumide,CVCL_1097,4050
Trimetrexate,CVCL_0069,4049
Cilostazol,CVCL_0332,4049
Nafamostat (mesylate),CVCL_0397,4048
Glasdegib,CVCL_C466,4048
Ritonavir,CVCL_1094,4047
Fingolimod (hydrochloride),CVCL_1635,4046
Verapamil,CVCL_0152,4046
Rapamycin,CVCL_0366,4045
Rapamycin,CVCL_1635,4045
Rapamycin,CVCL_0069,4045
Asciminib,CVCL_1635,4044
Pexidartinib (hydrochloride),CVCL_1666,4044
Ponatinib,CVCL_1239,4044
Tofacitinib (citrate),CVCL_0069,4044
Estrone sulfate (potassium),CVCL_1478,4044
Irinotecan,CVCL_1098,4044
Thymol,CVCL_1547,4043
Orlistat,CVCL_0371,4043
Indacaterol (maleate),CVCL_1094,4042
Azithromycin (hydrate),CVCL_1094,4042
Meloxicam,CVCL_0293,4042
Vilanterol,CVCL_1635,4042
Nevirapine,CVCL_1635,4041
Irinotecan,CVCL_1731,4041
Vismodegib,CVCL_1381,4041
Cabozantinib (S-malate),CVCL_1094,4041
Peretinoin,CVCL_1381,4041
LB-100,CVCL_1635,4041
Lidocaine (hydrochloride),CVCL_0371,4041
Trimetrexate,CVCL_1098,4040
Brimonidine,CVCL_1055,4039
Budesonide,CVCL_0332,4039
Sulfatinib,CVCL_0397,4038
Thymol,CVCL_1381,4038
Vandetanib,CVCL_0152,4037
CP21R7,CVCL_1285,4037
Tazarotene,CVCL_1666,4037
Idarubicin (hydrochloride),CVCL_0366,4036
Quinidine (15% dihydroquinidine),CVCL_0397,4036
DTP3,CVCL_0218,4036
Thymol,CVCL_1717,4036
Dexmedetomidine,CVCL_1097,4035
Amsacrine,CVCL_0428,4035
Furosemide,CVCL_1666,4035
Thymopentin,CVCL_0504,4034
Tadalafil,CVCL_1717,4034
Vitamin K4,CVCL_1547,4033
Fedratinib (hydrochloride hydrate),CVCL_0069,4033
Vitamin K4,CVCL_0292,4032
Talc,CVCL_1097,4032
Panobinostat,CVCL_0332,4032
vincristine,CVCL_0293,4031
GSK1059615,CVCL_1381,4031
Tofacitinib,CVCL_0179,4031
Dorzolamide (hydrochloride),CVCL_0504,4030
Sivelestat (sodium tetrahydrate),CVCL_0292,4030
Lapatinib ditosylate,CVCL_1666,4030
Dexamethasone,CVCL_0218,4029
Delamanid,CVCL_C466,4028
Meloxicam,CVCL_0320,4028
Sildenafil,CVCL_1097,4028
Dorzolamide (hydrochloride),CVCL_0293,4028
Everolimus,CVCL_0334,4028
Abiraterone acetate,CVCL_1055,4027
Arbutin,CVCL_0320,4027
Radotinib,CVCL_1635,4026
Osimertinib (mesylate),CVCL_0152,4026
Elagolix sodium,CVCL_1635,4026
MK-8353,CVCL_1119,4026
Rapamycin,CVCL_1666,4025
Methylprednisolone succinate,CVCL_0504,4025
Sulfisoxazole,CVCL_0292,4025
Ivabradine (hydrochloride),CVCL_1478,4025
L-Eflornithine (monohydrochloride),CVCL_1097,4025
